Start, Über1, Über2, Über3, Über4, Über5, Über6, Über7, Über8, Ziel, Länge in km, Verlinkung zum Fahrtenbuch
Leipzig, Brandis, ,,,,,,, Naunhof,51.7, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Gross Dölzig, ,,,,,,, Schkeuditz,31.4, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Eutritzsch, Hohenossig, Pröttitz, Crostitz, Crensitz, Gollmenz, Lindenhain, Wellaune, Düben,33.9, http://digital.slub-dresden.de/werkansicht/dlf/103042/28/
Leipzig, Wahren, Lützschena, Hänichen, Modelwitz, Schkeuditz, Grosskugel, Gröbers, Bruckdorf, Halle, 36.2, http://digital.slub-dresden.de/werkansicht/dlf/124441/15/0/ http://digital.slub-dresden.de/werkansicht/dlf/124441/16/0/
Leipzig, Eilenburg, Torgau, Herzberg, Luckau, Lübbenau,,,, Spreewald, 142.2, http://digital.slub-dresden.de/werkansicht/dlf/103042/33/
Leipzig, Borna, ,,,,,,, Altenburg, 44.8, http://digital.slub-dresden.de/werkansicht/dlf/180623/177/0/
Leipzig, ,,,,,,,, Grimma, 30.0, http://digital.slub-dresden.de/werkansicht/dlf/180623/177/0/
Leipzig, Lausigk,,,,,,,, Rochlitz, 50.0, http://digital.slub-dresden.de/werkansicht/dlf/180623/178/0/
Leipzig, Wurzen, Oschatz, Meißen, ,,,,, Dresden, 110.5, http://digital.slub-dresden.de/werkansicht/dlf/180623/180/0/
Leipzig, Taucha, Eilenburg, ,,,,,, Torgau, 53.3, http://digital.slub-dresden.de/werkansicht/dlf/180623/15/
Halle, Schkeuditz, ,,,,,,, Leipzig, 36.0, http://digital.slub-dresden.de/werkansicht/dlf/180623/32/0/
Hohenturm, Landsberg, ,,,,,,, Leipzig, 34.7, http://digital.slub-dresden.de/werkansicht/dlf/180623/11/0/  
Leipzig, Zwenkau, Pegau, ,,,,,, Zeitz, 43.6, http://digital.slub-dresden.de/werkansicht/dlf/180623/176/0/
Weißenfels, Lützen, Markranstädt, ,,,,,, Leipzig, 34.7, http://digital.slub-dresden.de/werkansicht/dlf/180623/175/0/
Artern, Querfurt, Schafstädt, Lauchstädt, Merseburg, ,,,, Leipzig, 83.55, http://digital.slub-dresden.de/werkansicht/dlf/180623/156/0/ 
